"team","name","logo"
"Florida Gulf Coast Eagles","Gaige Parsons (Colbey Parsons)","1CM_floridagulfcoast.png"
"Alabama A&M Bulldogs","W.S.J. Avery (Kelley Avery)","1CM_alabamaam.png"
"Florida State Seminoles","Jay Hardy","1CM_floridastate.png"
"Harvard Crimson","Pennie White","1CM_harvard.png"
"Georgetown Hoyas","Brittani Avery","1CM_georgetown.png"
"Gonzaga Bulldogs","James Kight","1CM_gonzaga.png"
"Fresno State Bulldogs","Tark Shark (Pennie White)","1CM_fresnostate.png"
"Louisiana State Tigers","Brooks Ward Jr.","1CM_louisianastate.png"
"Louisville Cardinals","Robby Arnold","1CM_louisville.png"
"Arkansas-Pine Bluff Golden Lions","Max Zubnik","1CM_arkansaspinebluff.png"
"Miami (FL) Hurricanes","Jake Smith","1CM_miamifl.png"
"Minnesota Golden Gophers","Moe Allen (Maurice Allen)","1CM_minnesota.png"
"Duke Blue Devils","Harley Zubnik (Max Zubnik)","1CM_duke.png"
"Ohio Bobcats","Nate Arnold (Robby Arnold)","1CM_ohio.png"
"Oklahoma Sooners","Kelley Avery","1CM_oklahoma.png"
"Dayton Flyers","Maximillian Zubnik (Max Zubnik)","1CM_dayton.png"
"Omaha Mavericks","Tristan Porter (James Kight)","1CM_omaha.png"
"Oregon Ducks","Quentin James (James Kight)","1CM_oregon.png"
"Ohio State Buckeyes","Fillup Banks (Chill Will)","1CM_ohiostate.png"
"Villanova Wildcats","Maurice Allen","1CM_villanova.png"
"Washington Huskies","Genie Avery (Kelley Avery)","1CM_washington.png"
"Kansas Jayhawks","Dave Langen","1CM_kansas.png"
"Grambling Tigers","Rex Marshall (Brittani Avery)","1CM_grambling.png"
"Indiana State Sycamores","Colbey Parsons","1CM_indianastate.png"
"Southern California Trojans","Lesane Crooks (Jron)","1CM_southerncalifornia.png"
