ranking,tier,school,nickname,region,probation
301,3,Abilene Christian,Wildcats,Great Plains,
287,3,Air Force,Falcons,Great Plains,
150,2,Akron,Zips,Midwest,
122,2,Alabama,Crimson Tide,Southeast,
305,3,Alabama A&M,Bulldogs,Southeast,
349,3,Alabama State,Hornets,Southeast,
48,2,Alabama-Birmingham,Blazers,Southeast,
237,3,Albany,Great Danes,Atlantic East,
306,3,Alcorn State,Braves,Southeast,
357,3,American,Eagles,Atlantic East,
310,3,Appalachian State,Mountaineers,Atlantic East,
38,1,Arizona,Wildcats,West,
111,2,Arizona State,Sun Devils,West,
20,1,Arkansas,Razorbacks,Southeast,
82,2,Arkansas State,Red Wolves,Southeast,
230,3,Arkansas-Pine Bluff,Golden Lions,Southeast,
77,2,Army,Black Knights,Atlantic East,
161,2,Auburn,Tigers,Southeast,
155,2,Austin Peay,Governors,Southeast,
203,3,Ball State,Cardinals,Midwest,
32,1,Baylor,Bears,Great Plains,
235,3,Bellarmine,Knights,Southeast,
76,2,Belmont,Bruins,Southeast,
279,3,Bethune-Cookman,Wildcats,Southeast,
238,3,Binghamton,Bearcats,Atlantic East,
154,2,Boise State,Broncos,West,
125,2,Boston College,Eagles,Atlantic East,
345,3,Boston University,Terriers,Atlantic East,
151,2,Bowling Green State,Falcons,Midwest,
285,3,Bradley,Braves,Midwest,
53,2,Brigham Young,Cougars,West,
192,2,Brown,Bears,Atlantic East,
217,3,Bryant,Bulldogs,Atlantic East,
223,3,Bucknell,Bison,Atlantic East,
67,2,Buffalo,Bulls,Atlantic East,
92,2,Butler,Bulldogs,Midwest,
139,2,Cal Poly,Mustangs,West,
320,3,Cal St. Bakersfield,Roadrunners,West,
258,3,Cal St. Fullerton,Titans,West,
59,2,Cal St. Northridge,Matadors,West,
120,2,California,Golden Bears,West,
209,3,California Baptist,Lancers,West,
55,2,Campbell,Camels,Atlantic East,
97,2,Canisius,Golden Griffins,Atlantic East,
225,3,Central Arkansas,Bears,Southeast,
291,3,Central Connecticut,Blue Devils,Atlantic East,
113,2,Central Florida,Knights,Southeast,
200,3,Central Michigan,Chippewas,Midwest,
260,3,Charleston,Cougars,Southeast,
56,2,Charleston Southern,Buccaneers,Southeast,
61,2,Charlotte,49ers,Atlantic East,
296,3,Chattanooga,Mocs,Southeast,
172,2,Chicago State,Cougars,Midwest,
14,1,Cincinnati,Bearcats,Midwest,
164,2,Citadel,Bulldogs,Southeast,
114,2,Clemson,Tigers,Southeast,
145,2,Cleveland State,Vikings,Midwest,
352,3,Coastal Carolina,Chanticleers,Southeast,
222,3,Colgate,Raiders,Atlantic East,
100,2,Colorado,Buffaloes,Great Plains,
73,2,Colorado State,Rams,Great Plains,
270,3,Columbia,Lions,Atlantic East,
104,2,Connecticut,Huskies,Atlantic East,
69,2,Coppin State,Eagles,Atlantic East,
268,3,Cornell,Big Red,Atlantic East,
93,2,Creighton,Blue Jays,Great Plains,
193,2,Dartmouth,Big Green,Atlantic East,
44,2,Davidson,Wildcats,Atlantic East,
45,2,Dayton,Flyers,Midwest,
36,1,DePaul,Blue Demons,Midwest,
185,2,Delaware,Fightin' Blue Hens,Atlantic East,
206,3,Delaware State,Hornets,Atlantic East,
353,3,Denver,Pioneers,Great Plains,
62,2,Detroit Mercy,Titans,Midwest,
324,3,Dixie State,Trailblazers,West,
210,3,Drake,Bulldogs,Great Plains,
263,3,Drexel,Dragons,Atlantic East,
23,1,Duke,Blue Devils,Atlantic East,
245,3,Duquesne,Dukes,Atlantic East,
232,3,East Carolina,Pirates,Atlantic East,
79,2,East Tennessee State,Buccaneers,Southeast,
218,3,Eastern Illinois,Panthers,Midwest,
341,3,Eastern Kentucky,Colonels,Southeast,
201,3,Eastern Michigan,Eagles,Midwest,
330,3,Eastern Washington,Eagles,West,
186,2,Elon,Phoenix,Atlantic East,
70,2,Evansville,Purple Aces,Midwest,
194,2,Fairfield,Stags,Atlantic East,
293,3,Fairleigh Dickinson,Knights,Atlantic East,
21,1,Florida,Gators,Southeast,
98,2,Florida A&M,Rattlers,Southeast,
141,2,Florida Atlantic,Owls,Southeast,
241,3,Florida Gulf Coast,Eagles,Southeast,
264,3,Florida International,Panthers,Southeast,
126,2,Florida State,Seminoles,Southeast,
176,2,Fordham,Rams,Atlantic East,
212,3,Fresno State,Bulldogs,West,
348,3,Furman,Paladins,Southeast,
182,2,Gardner-Webb,Runnin' Bulldogs,Atlantic East,
129,2,George Mason,Patriots,Atlantic East,
130,2,George Washington,Colonials,Atlantic East,
27,1,Georgetown,Hoyas,Atlantic East,
112,2,Georgia,Bulldogs,Southeast,
83,2,Georgia Southern,Eagles,Southeast,
311,3,Georgia State,Panthers,Southeast,
